============================================================================================
ANSOFT                                                                              03/02/26
S Parameter Plot1                                                                   16:37:34

--------------------------------------------------------------------------------------------
       Freq [GHz]   dB(S(LumpPort_CAP2_south_end,LumpPort_CAP1_south_end)) []
                                                                             
4.000000000000000                                        -110.315638480016503
4.003006012024048                                        -110.245732121308748
4.006012024048096                                        -110.175628939565442
4.009018036072145                                        -110.105327661698965
4.012024048096192                                        -110.034827002153136
4.015030060120241                                        -109.964125662709989
4.018036072144288                                        -109.893222332350490
4.021042084168337                                        -109.822115687059053
4.024048096192384                                        -109.750804389656565
4.027054108216433                                        -109.679287089613538
4.030060120240481                                        -109.607562422878630
4.033066132264529                                        -109.535629011680257
4.036072144288577                                        -109.463485464351905
4.039078156312625                                        -109.391130375126281
4.042084168336673                                        -109.318562323945713
4.045090180360722                                        -109.245779876263427
4.048096192384770                                        -109.172781582845190
4.051102204408818                                        -109.099565979553034
4.054108216432866                                        -109.026131587153884
4.057114228456914                                        -108.952476911077056
4.060120240480962                                        -108.878600441236699
4.063126252505010                                        -108.804500651770439
4.066132264529058                                        -108.730176000849625
4.069138276553106                                        -108.655624930427436
4.072144288577154                                        -108.580845866022230
4.075150300601202                                        -108.505837216460407
4.078156312625250                                        -108.430597373662110
4.081162324649299                                        -108.355124712374135
4.084168336673346                                        -108.279417589934582
4.087174348697395                                        -108.203474346001570
4.090180360721443                                        -108.127293302318037
4.093186372745491                                        -108.050872762427304
4.096192384769539                                        -107.974211011415392
4.099198396793587                                        -107.897306315630871
4.102204408817635                                        -107.820156922414171
4.105210420841684                                        -107.742761059808089
4.108216432865731                                        -107.665116936273108
4.111222444889780                                        -107.587222740385158
4.114228456913827                                        -107.509076640551186
4.117234468937876                                        -107.430676784679008
4.120240480961924                                        -107.352021299896563
4.123246492985972                                        -107.273108292205563
4.126252505010020                                        -107.193935846180622
4.129258517034068                                        -107.114502024628592
4.132264529058117                                        -107.034804868249722
4.135270541082164                                        -106.954842395308859
4.138276553106213                                        -106.874612601270726
4.141282565130260                                        -106.794113458456806
4.144288577154309                                        -106.713342915675497
4.147294589178356                                        -106.632298897857311
4.150300601202405                                        -106.550979305670083
4.153306613226452                                        -106.469382015146977
4.156312625250501                                        -106.387504877281572
4.159318637274549                                        -106.305345717634054
4.162324649298597                                        -106.222902335926932
4.165330661322646                                        -106.140172505620441
4.168336673346693                                        -106.057153973496284
4.171342685370742                                        -105.973844459219094
4.174348697394790                                        -105.890241654897906
4.177354709418838                                        -105.806343224634887
4.180360721442886                                        -105.722146804062362
4.183366733466934                                        -105.637649999875947
4.186372745490982                                        -105.552850389355811
4.189378757515030                                        -105.467745519877312
4.192384769539078                                        -105.382332908411826
4.195390781563126                                        -105.296610041010410
4.198396793587174                                        -105.210574372298765
4.201402805611222                                        -105.124223324926064
4.204408817635271                                        -105.037554289039093
4.207414829659318                                        -104.950564621718669
4.210420841683367                                        -104.863251646419172
4.213426853707414                                        -104.775612652382804
4.216432865731463                                        -104.687644894057712
4.219438877755511                                        -104.599345590487260
4.222444889779559                                        -104.510711924697176
4.225450901803607                                        -104.421741043066220
4.228456913827655                                        -104.332430054679023
4.231462925851703                                        -104.242776030671763
4.234468937875752                                        -104.152776003554095
4.237474949899799                                        -104.062426966531547
4.240480961923848                                        -103.971725872788397
4.243486973947896                                        -103.880669634784809
4.246492985971944                                        -103.789255123506550
4.249498997995993                                        -103.697479167727209
4.252505010020040                                        -103.605338553229586
4.255511022044089                                        -103.512830022024716
4.258517034068136                                        -103.419950271547961
4.261523046092185                                        -103.326695953831447
4.264529058116232                                        -103.233063674669637
4.267535070140281                                        -103.139049992748937
4.270541082164328                                        -103.044651418777448
4.273547094188377                                        -102.949864414571579
4.276553106212424                                        -102.854685392139530
4.279559118236473                                        -102.759110712738845
4.282565130260521                                        -102.663136685895807
4.285571142284569                                        -102.566759568428395
4.288577154308618                                        -102.469975563421855
4.291583166332665                                        -102.372780819198425
4.294589178356714                                        -102.275171428242629
4.297595190380761                                        -102.177143426115705
4.300601202404810                                        -102.078692790341634
4.303607214428858                                        -101.979815439257138
4.306613226452906                                        -101.880507230834652
4.309619238476953                                        -101.780763961493648
4.312625250501002                                        -101.680581364856678
4.315631262525050                                        -101.579955110483382
4.318637274549098                                        -101.478880802589103
4.321643286573146                                        -101.377353978702615
4.324649298597195                                        -101.275370108310739
4.327655310621243                                        -101.172924591458212
4.330661322645290                                        -101.070012757315084
4.333667334669339                                        -100.966629862711216
4.336673346693387                                        -100.862771090616519
4.339679358717435                                        -100.758431548606566
4.342685370741482                                        -100.653606267258482
4.345691382765532                                        -100.548290198532229
4.348697394789579                                        -100.442478214089007
4.351703406813627                                        -100.336165103575638
4.354709418837675                                        -100.229345572852409
4.357715430861723                                        -100.122014242188669
4.360721442885771                                        -100.014165644393458
4.363727454909820                                         -99.905794222902173
4.366733466933868                                         -99.796894329812062
