============================================================================================
ANSOFT                                                                              03/08/26
S Parameter Plot2                                                                   00:29:46

--------------------------------------------------------------------------------------------
       Freq [GHz]   dB(S(LumpPort_LINE3_end,LumpPort_LINE1_end)) []
                                                                   
6.700000000000000                               -68.340543600937821
6.700834724540901                               -68.325735731416287
6.701669449081804                               -68.310886931567822
6.702504173622705                               -68.295996994569691
6.703338898163605                               -68.281065712120949
6.704173622704507                               -68.266092874428509
6.705008347245409                               -68.251078270193290
6.705843071786310                               -68.236021686595791
6.706677796327212                               -68.220922909281910
6.707512520868113                               -68.205781722348334
6.708347245409015                               -68.190597908327788
6.709181969949917                               -68.175371248174216
6.710016694490818                               -68.160101521247768
6.710851419031719                               -68.144788505299459
6.711686143572622                               -68.129431976455763
6.712520868113523                               -68.114031709203147
6.713355592654423                               -68.098587476372131
6.714190317195325                               -68.083099049121330
6.715025041736227                               -68.067566196921405
6.715859766277128                               -68.051988687538568
6.716694490818030                               -68.036366287018026
6.717529215358931                               -68.020698759667354
6.718363939899833                               -68.004985868039384
6.719198664440735                               -67.989227372915011
6.720033388981636                               -67.973423033286039
6.720868113522537                               -67.957572606337294
6.721702838063440                               -67.941675847428996
6.722537562604341                               -67.925732510078703
6.723372287145242                               -67.909742345942988
6.724207011686143                               -67.893705104799025
6.725041736227045                               -67.877620534525931
6.725876460767946                               -67.861488381085678
6.726711185308848                               -67.845308388504023
6.727545909849749                               -67.829080298851153
6.728380634390651                               -67.812803852221876
6.729215358931553                               -67.796478786715809
6.730050083472454                               -67.780104838417230
6.730884808013355                               -67.763681741374683
6.731719532554258                               -67.747209227580228
6.732554257095159                               -67.730687026948630
6.733388981636060                               -67.714114867296075
6.734223706176962                               -67.697492474318722
6.735058430717863                               -67.680819571571064
6.735893155258764                               -67.664095880443796
6.736727879799666                               -67.647321120141555
6.737562604340567                               -67.630495007660414
6.738397328881469                               -67.613617257764872
6.739232053422371                               -67.596687582964790
6.740066777963272                               -67.579705693491917
6.740901502504173                               -67.562671297276026
6.741736227045076                               -67.545584099920958
6.742570951585977                               -67.528443804680165
6.743405676126878                               -67.511250112431938
6.744240400667780                               -67.494002721654425
6.745075125208681                               -67.476701328400338
6.745909849749582                               -67.459345626271073
6.746744574290484                               -67.441935306390789
6.747579298831385                               -67.424470057379978
6.748414023372287                               -67.406949565328773
6.749248747913189                               -67.389373513769726
6.750083472454090                               -67.371741583650490
6.750918196994991                               -67.354053453305937
6.751752921535894                               -67.336308798429855
6.752587646076795                               -67.318507292046604
6.753422370617696                               -67.300648604481864
6.754257095158598                               -67.282732403333455
6.755091819699500                               -67.264758353441621
6.755926544240400                               -67.246726116858653
6.756761268781302                               -67.228635352818472
6.757595993322203                               -67.210485717705652
6.758430717863105                               -67.192276865023842
6.759265442404007                               -67.174008445364095
6.760100166944908                               -67.155680106372472
6.760934891485809                               -67.137291492717296
6.761769616026712                               -67.118842246055976
6.762604340567613                               -67.100332005001405
6.763439065108514                               -67.081760405087721
6.764273789649416                               -67.063127078735747
6.765108514190318                               -67.044431655217963
6.765943238731218                               -67.025673760622851
6.766777963272120                               -67.006853017818798
6.767612687813021                               -66.987969046417589
6.768447412353923                               -66.969021462737089
6.769282136894825                               -66.950009879763826
6.770116861435726                               -66.930933907114735
6.770951585976627                               -66.911793150998335
6.771786310517530                               -66.892587214175464
6.772621035058431                               -66.873315695919629
6.773455759599332                               -66.853978191976225
6.774290484140234                               -66.834574294521815
6.775125208681136                               -66.815103592122398
6.775959933222036                               -66.795565669691172
6.776794657762938                               -66.775960108445787
6.777629382303839                               -66.756286485864806
6.778464106844741                               -66.736544375643632
6.779298831385643                               -66.716733347649708
6.780133555926544                               -66.696852967877277
6.780968280467445                               -66.676902798401045
6.781803005008348                               -66.656882397329611
6.782637729549249                               -66.636791318757915
6.783472454090150                               -66.616629112719082
6.784307178631052                               -66.596395325135475
6.785141903171954                               -66.576089497769132
6.785976627712855                               -66.555711168171356
6.786811352253756                               -66.535259869631489
6.787646076794657                               -66.514735131125178
6.788480801335559                               -66.494136477261392
6.789315525876461                               -66.473463428229110
6.790150250417362                               -66.452715499742979
6.790984974958263                               -66.431892202987953
6.791819699499166                               -66.410993044563426
6.792654424040067                               -66.390017526426377
6.793489148580968                               -66.368965145833357
6.794323873121870                               -66.347835395282132
6.795158597662772                               -66.326627762451821
6.795993322203673                               -66.305341730142530
6.796828046744575                               -66.283976776213791
6.797662771285475                               -66.262532373522220
6.798497495826377                               -66.241007989857948
6.799332220367279                               -66.219403087880281
6.800166944908180                               -66.197717125052236
6.801001669449081                               -66.175949553574014
6.801836393989984                               -66.154099820315395
6.802671118530885                               -66.132167366747169
6.803505843071786                               -66.110151628871265
6.804340567612688                               -66.088052037149922
6.805175292153590                               -66.065868016433754
6.806010016694491                               -66.043598985888309
6.806844741235393                               -66.021244358919816
6.807679465776293                               -65.998803543099612
6.808514190317195                               -65.976275940087106
6.809348914858097                               -65.953660945551761
6.810183639398998                               -65.930957949093710
6.811018363939899                               -65.908166334162829
6.811853088480802                               -65.885285477976907
6.812687813021703                               -65.862314751438007
6.813522537562604                               -65.839253519047617
6.814357262103506                               -65.816101138820443
6.815191986644408                               -65.792856962196709
6.816026711185309                               -65.769520333952741
6.816861435726211                               -65.746090592110434
6.817696160267111                               -65.722567067844849
6.818530884808013                               -65.698949085390495
6.819365609348915                               -65.675235961945589
6.820200333889816                               -65.651427007575236
6.821035058430717                               -65.627521525112442
6.821869782971620                               -65.603518810057707
6.822704507512521                               -65.579418150476741
6.823539232053422                               -65.555218826896379
6.824373956594324                               -65.530920112198757
6.825208681135225                               -65.506521271513677
6.826043405676127                               -65.482021562108812
6.826878130217029                               -65.457420233278256
6.827712854757930                               -65.432716526229001
6.828547579298831                               -65.407909673965236
6.829382303839733                               -65.382998901170879
6.830217028380634                               -65.357983424089724
6.831051752921535                               -65.332862450403539
6.831886477462437                               -65.307635179107919
6.832721202003339                               -65.282300800386139
6.833555926544240                               -65.256858495480174
6.834390651085142                               -65.231307436559831
6.835225375626043                               -65.205646786589412
6.836060100166945                               -65.179875699191726
6.836894824707847                               -65.153993318509606
6.837729549248748                               -65.127998779065251
6.838564273789649                               -65.101891205616269
6.839398998330551                               -65.075669713009688
6.840233722871452                               -65.049333406032886
6.841068447412353                               -65.022881379261634
6.841903171953255                               -64.996312716905479
6.842737896494157                               -64.969626492650335
6.843572621035058                               -64.942821769497471
6.844407345575960                               -64.915897599600072
6.845242070116861                               -64.888853024096363
6.846076794657763                               -64.861687072939546
6.846911519198665                               -64.834398764724341
6.847746243739566                               -64.806987106510491
6.848580968280467                               -64.779451093642407
6.849415692821369                               -64.751789709565557
6.850250417362270                               -64.724001925639371
6.851085141903171                               -64.696086700945884
6.851919866444073                               -64.668042982095216
6.852754590984975                               -64.639869703026960
6.853589315525876                               -64.611565784807553
6.854424040066778                               -64.583130135423460
6.855258764607679                               -64.554561649570601
6.856093489148581                               -64.525859208439073
6.856928213689483                               -64.497021679493884
6.857762938230384                               -64.468047916250967
6.858597662771285                               -64.438936758048612
6.859432387312188                               -64.409687029814435
6.860267111853088                               -64.380297541827417
6.861101836393989                               -64.350767089474857
6.861936560934891                               -64.321094453004420
6.862771285475793                               -64.291278397271242
6.863606010016694                               -64.261317671479190
6.864440734557596                               -64.231211008917157
6.865275459098497                               -64.200957126689630
6.866110183639399                               -64.170554725441406
6.866944908180301                               -64.140002489076579
6.867779632721202                               -64.109299084471701
6.868614357262103                               -64.078443161182136
6.869449081803006                               -64.047433351142857
6.870283806343906                               -64.016268268362339
6.871118530884807                               -63.984946508609667
6.871953255425709                               -63.953466649095091
6.872787979966611                               -63.921827248143543
6.873622704507512                               -63.890026844860600
6.874457429048414                               -63.858063958791568
6.875292153589315                               -63.825937089572513
6.876126878130217                               -63.793644716573723
6.876961602671119                               -63.761185298535082
6.877796327212020                               -63.728557273193474
6.878631051752921                               -63.695759056901124
6.879465776293824                               -63.662789044235893
6.880300500834724                               -63.629645607602441
6.881135225375625                               -63.596327096824055
6.881969949916527                               -63.562831838725160
6.882804674457429                               -63.529158136704389
6.883639398998330                               -63.495304270297240
6.884474123539232                               -63.461268494728813
6.885308848080133                               -63.427049040456239
6.886143572621035                               -63.392644112699521
6.886978297161937                               -63.358051890962031
6.887813021702838                               -63.323270528539439
6.888647746243739                               -63.288298152016260
6.889482470784642                               -63.253132860751002
6.890317195325543                               -63.217772726348613
6.891151919866443                               -63.182215792119777
6.891986644407345                               -63.146460072527624
6.892821368948247                               -63.110503552620251
6.893656093489148                               -63.074344187449533
6.894490818030050                               -63.037979901475452
6.895325542570951                               -63.001408587955851
